;support;itemsets
0;0.22164948453608246;Asparagus albus
1;0.211340206185567;Chamaerops humilis
2;0.20103092783505155;Helianthemum almeriense
3;0.22164948453608246;Launaea lanifera
4;0.23711340206185566;Lavandula multifida
5;0.2422680412371134;Lycium intricatum
6;0.32989690721649484;Macrochloa tenacissima
7;0.26804123711340205;Phlomis purpurea
8;0.20103092783505155;Salsola genistoides
9;0.4020618556701031;Thymus hyemalis
10;0.22164948453608246;Macrochloa tenacissima, Thymus hyemalis
